No.,Name,Link,Country,Group
1,AdultIPTv-Anal,http://cdn.adultiptv.net/anal.m3u8,INT,Adult
2,AdultIPTv-Asian,http://cdn.adultiptv.net/asian.m3u8,INT,Adult
3,AdultIPTv-Bigass,http://cdn.adultiptv.net/bigass.m3u8,INT,Adult
4,AdultIPTv-Bigdick,http://cdn.adultiptv.net/bigdick.m3u8,INT,Adult
5,AdultIPTv-Bigtits,http://cdn.adultiptv.net/bigtits.m3u8,INT,Adult
6,AdultIPTv-Blonde,http://cdn.adultiptv.net/blonde.m3u8,INT,Adult
7,AdultIPTv-Blowjob,http://cdn.adultiptv.net/blowjob.m3u8,INT,Adult
8,AdultIPTv-Bruntee,http://cdn.adultiptv.net/brunette.m3u8,INT,Adult
9,AdultIPTv-Compilation,http://cdn.adultiptv.net/compilation.m3u8,INT,Adult
10,AdultIPTv-Cuckold,http://cdn.adultiptv.net/cuckold.m3u8,INT,Adult
11,AdultIPTv-Fetish,http://cdn.adultiptv.net/fetish.m3u8,INT,Adult
12,AdultIPTv-Gangbang,http://cdn.adultiptv.net/gangbang.m3u8,INT,Adult
13,AdultIPTv-Gay,http://cdn.adultiptv.net/gay.m3u8,INT,Adult
14,AdultIPTv-Hardcore,http://cdn.adultiptv.net/hardcore.m3u8,INT,Adult
15,AdultIPTv-Interracial,http://cdn.adultiptv.net/interracial.m3u8,INT,Adult
16,AdultIPTv-Latina,http://cdn.adultiptv.net/latina.m3u8,INT,Adult
17,AdultIPTv-Lesbians,http://cdn.adultiptv.net/lesbian.m3u8,INT,Adult
18,AdultIPTv-Livecams,http://cdn.adultiptv.net/livecams.m3u8,INT,Adult
19,AdultIPTv-Milfs,http://cdn.adultiptv.net/milf.m3u8,INT,Adult
20,AdultIPTv-Pornstar,http://cdn.adultiptv.net/pornstar.m3u8,INT,Adult
21,AdultIPTv-POV,http://cdn.adultiptv.net/pov.m3u8,INT,Adult
22,AdultIPTv-Rough,http://cdn.adultiptv.net/rough.m3u8,INT,Adult
23,AdultIPTv-Russian,http://cdn.adultiptv.net/russian.m3u8,INT,Adult
24,AdultIPTv-Teen,http://cdn.adultiptv.net/teen.m3u8,INT,Adult
25,AdultIPTv-Threesome,http://cdn.adultiptv.net/threesome.m3u8,INT,Adult
26,AdultIPTv-Women,http://live.redtraffic.net/woman.m3u8,INT,Adult
27,BabyStation24,http://sdn-global-live-streaming-packager-cache.3qsdn.com/9528/9528_264_live.m3u8,INT,Adult
28,ExtacyHDTv,http://213.151.233.20:8000/dna-6233-tv-pc.m3u8,INT,Adult
29,MiamiTv-Latono,https://5ee7c2b857b7f.streamlock.net/latino/latino/playlist.m3u8,INT,Adult
30,MiamiTv-Mexico,https://59ec5453559f0.streamlock.net/mexicotv/smil:miamitvmexicoROKU/playlist.m3u8,INT,Adult
31,MyCamTv-Anal,http://live.mycamtv.com/anal.m3u8,CZ,Adult
32,MyCamTv-Asian,http://live.mycamtv.com/asian.m3u8,CZ,Adult
33,MyCamTv-Bigass,http://live.mycamtv.com/defstream.m3u8,CZ,Adult
34,MyCamTv-Bigtits,http://live.mycamtv.com/bigtits.m3u8,CZ,Adult
35,MyCamTv-Blonde,http://live.mycamtv.com/blonde.m3u8,CZ,Adult
36,MyCamTv-Bruntee,http://live.mycamtv.com/brunette.m3u8,CZ,Adult
37,MyCamTv-Ebony,http://live.mycamtv.com/medium.m3u8,CZ,Adult
38,MyCamTv-Latina,http://live.mycamtv.com/latina.m3u8,CZ,Adult
39,MyCamTv-Skinny,http://live.mycamtv.com/arab.m3u8,CZ,Adult
40,MyCamTv-Squirt,http://live.mycamtv.com/squirt.m3u8,CZ,Adult
41,MyCamTv-White,http://live.mycamtv.com/white.m3u8,CZ,Adult
42,XTv,https://stream.visit-x.tv/vxtv/ngrp:live_all/playlist.m3u8,UK,Adult
43,Xmax,http://95.87.227.29:8080/XYMAX_FOR_PLATFORM/index.m3u8,UK,Adult
44,Xmin,http://95.87.227.29:8080/XYMIX_FOR_PLATFORM/index.m3u8,UK,Adult
