No.,Name,Link,Country,Group
1,Independent TV,https://bd.jagobd.com:444/c2VydmVyX4RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/independent-8-org.stream/live-orgin/independent-8-org.stream/chunks.m3u8,BD,News
2,DBC News,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/dbcnews.stream/chunks.m3u8,BD,News
3,Boisakhi,https://deshitv.deshitv24.net/live/myStream/playlist.m3u8,BD,Entertainment
4,Songeet Bangla,https://livemtaasia.akamaized.net/hls/live/2039224/mtaasia2/playlist.m3u8,INT,Entertainment
5,BanglaTV,https://bd.jagobd.com:444/c2VydmVyX4RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/banglatvhd.stream/live-orgin/banglatvhd.stream/chunks.m3u8,BD,Entertainment
6,BoisakhiPlus TV,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/deeptotv.stream/chunks.m3u8,BD,Entertainment
7,Doyel TV,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/doyeltv.stream/chunks.m3u8,BD,Entertainment
8,BestCableMusic,https://docubayvh.s.llnwi.net/526a07ab-6ae7-4b6c-84a1-159791416484_1000004372_HLS/manifest.m3u8,BD,Entertainment
9,MovieBangla,https://lmil.live-s.cdn.bitgravity.com/cdn-live/_definst_/lmil/live/aajtak_app.smil/playlist.m3u8,IND,News
10,Voice TV,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/voicetv.stream/chunks.m3u8,BD,Music
11,Dubaieye,https://dminnvll.cdn.mangomolo.com/dubaione/smil:dubaione.stream.smil/playlist.m3u8,INT,Movie
12,ProIn Tv,https://live.wmncdn.net/cinevoice/508a8ec9dfdb9c61df9823aac272b719.sdp/index.m3u8,IND,News
13,Channel TV,https://cdn.appv.jagobd.com:444/live-orgin/thechanneltv.stream/chunks.m3u8,IND,Entertainment
14,Channel i HD,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/channeli-8-org.stream/chunks.m3u8,BD,Entertainment
15,Channel Y,https://allanf181.github.io/adaptive-streams/streams/kr/ChannelChina.m3u8,CN,Movie
16,ATN Music,https://tempskyview.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/atnmusic.stream/chunks.m3u8,BD,Music
17,Channel 24,https://bd.jagobd.com:444/c2VydmVyX4RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/channel24-sg-e8e.stream/live-orgin/channel24-sg-e8e.stream/chunks.m3u8,BD,News
18,CGTN,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8,CN,News
19,Boisakhi HD,https://bd.jagobd.com:444/c2VydmVyX4RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/boishakhitv-org.stream/live-orgin/boishakhitv-org.stream/chunks.m3u8,BD,Drama
20,BD LIVE Tv,https://stream.mux.com/e8ustDL8hTiGTkCkE9JLpdJ5uCMcokzn.m3u8,BD,Movie
21,Bangla Vision,https://tempskyview.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/banglav000.stream/chunks.m3u8,BD,Drama
22,ATVHayTV,https://tempskyview.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/gaanbangla-8-orgd.stream/chunks.m3u8,BD,Music
23,Bangla Talkies,http://cdn.live5.in:1935/live/sun6/chunklist_w1143835070.m3u8,BD,Entertainment
24,Baraza TV,https://nbn.chowdhury-shaheb.com/live/nb-duronto_720p/chunks.m3u8,BD,Kids
25,Can Bangla,http://14.199.164.20:4001/play/a0nb/index.m3u8,BD,Entertainment
26,Canal11,https://tempskyview.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/cumilla24.stream/chunks.m3u8,BD,News
27,CCTV5,https://yuppcatchup.akamaized.net/preview/etvbengali/2500.m3u8,BD,Entertainment
28,ChannelA,http://cdn19.live247stream.com/channely/tv/playlist.m3u8,BD,News
29,ChannelFight,https://live.tvdhaka.com:30443/live/channels/chunks.m3u8,BD,Entertainment
30,Charge,https://tempskyview.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/channel9hd.stream/chunks.m3u8,BD,News
31,CON TV,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/canbanglatv.stream/chunks.m3u8,BD,Entertainment
32,DanceStar,http://iptvbd.jagobd.com:1931/live-orgin/boishakhiplus.stream/chunks.m3u8,BD,Drama
33,DreikoTV,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/bangla21tv000889956-sg.stream/chunks.m3u8,BD,Entertainment
34,Dubaieye,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/bangla21tv000889956-sg.stream/chunks.m3u8,BD,News
35,Family Movies,https://95eryw39dwn4-hls-live.wmncdn.net/Ayushu/271ddf829afeece44d8732757fba1a66.sdp/index.m3u8,BD,Entertainment
36,FlimChi Movies,https://vidcdn.vidgyor.com/rplus-origin/rplusasianetlive/playlist.m3u8,BD,News
37,Futbol1,http://ashrafichannel.livebox.co.in/ashrafivhannelhls/live.m3u8,BD,Entertainment
38,K TV,http://stream1.livebox.co.in:80/kbcreationhls/live.m3u8,BD,Entertainment
39,Krone Hit,https://live-hls-web-aje.getaj.net/AJE/03.m3u8,BD,News
40,Al Jazeera Stream,https://live-hls-web-aje.getaj.net/AJE/02.m3u8,BD,News
41,Mastiii,https://live-hls-web-aje.getaj.net/AJE/01.m3u8,BD,News
42,Movie SPhere,https://lmil.live-s.cdn.bitgravity.com/cdn-live/_definst_/lmil/live/aajtak_app.smil/playlist.m3u8,BD,News
43,MTA2Europe,https://d2q8p4pe5spbak.cloudfront.net/bpk-tv/9XM/9XM.isml/index.m3u8,BD,Entertainment
44,OCNMovies,https://api.trtworld.com/livestream/v1/WcM3Oa2LHD9iUjWDSRUI335NkMWVTUV351H56dqC/master.m3u8,BD,News
45,ShansonTV,http://cdn11.live247stream.com/tag/tv/playlist.m3u8,CA,News
46,AyushTV,https://epiconvh.s.llnwi.net/filamchi/master_1024.m3u8,CH,Movie
47,Cine Voice,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8,CN,Movie
48,CineMax,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8,CN,Sports
49,Jamuna News,https://5b464b69d264e.streamlock.net/Channels_live/ngrp:amordiscos_all/playlist.m3u8,CO,Music
50,Music INDIA,http://k3.usastreams.com/CableLatino/88stereo/playlist.m3u8,CR,Music
51,Deepto TV,http://bibeltv03.iptv-playoutcenter.de/bibeltv03/bibeltv03.stream_1/playlist.m3u8,DE,Music
52,RakutenTVActionMoviesGermany,https://rakuten-actionmovies-3-eu.rakuten.wurl.tv/playlist.m3u8,DE,Movie
53,RakutenTVComedyMoviesGermany,https://rakuten-comedymovies-3-eu.rakuten.wurl.tv/playlist.m3u8,DE,Movie
54,Metal Music 1,https://streamtv.mediasector.es/hls/activatv/.m3u8,ES,Music
55,NazranaMusic,https://limited38.todostreaming.es/live/101tv-web101tv.m3u8,ES,News
56,NDTVIndia,https://limited38.todostreaming.es/live/101tv-AntequeraHD.m3u8,ES,Music
57,DilSe,https://eco.streams.ovh/BarazaTV/BarazarazaTV/BarazaTV/playlist.m3u8,GR,Music
58,Bangla 21,http://14.199.164.20:4001/play/a0j5/index.m3u8,IN,Entertainment
59,BanglaVision,http://14.199.164.20:4001/play/a0pc/index.m3u8,IN,Entertainment
60,1Plus1Sport,https://nbn.chowdhury-shaheb.com/live/star-gold-select_720p/chunks.m3u8,IND,Movie
61,24Kanal,https://d2q8p4pe5spbak.cloudfront.net/bpk-tv/sangeetbangla/sangeetbangla.isml/sangeetbangla-audio_208482_und=208000-video=877600.m3u8,IND,Music
62,30AMusic,https://epiconvh.s.llnwi.net/showbox/master_1024.m3u8,IND,Music
63,9XM IN,https://593b04c4c5670.streamlock.net:443/8002/8002/playlist.m3u8,IND,Music
64,AajTak IN,http://51.210.199.18/hls/stream.m3u8,IND,Entertainment
65,AllSports,http://208.86.19.13:81/733.stream/index.m3u8,IND,Music
66,Amar Bangla,http://d2q8p4pe5spbak.cloudfront.net/bpk-tv/musicindia/musicindia.isml/.m3u8,IND,Music
67,AmericanClassics,http://144.217.70.181:9587/hin2/MTVBEATSHD/tracks-v1a1/mono.m3u8,IND,Music
68,ArmeniaJanTV,https://eu-fr.tvapp.icu/joomusic/tv/playlist.m3u8,IND,Movie
69,Ashrafi Channel,http://208.86.19.13:81/617.stream/index.m3u8,IND,Movie
70,BibelTVMusik,http://14.199.164.20:4001/play/a0tm/index.m3u8,IND,Movie
71,BillBoard,http://14.199.164.20:4001/play/a0o5/index.m3u8,IND,Movie
72,BollywoodHDRussia,http://103.199.161.254/Content/ddsports/Live/Channel(DDSPORTS)/index.m3u8,IND,Sports
73,BoogleBollywood,http://103.199.161.254/Content/ddnational/Live/Channel(DDNational)/Stream(01)/index.m3u8,IND,Movie
74,Cumilla 24,http://14.199.164.20:4001/play/a0su/index.m3u8,IND,Movie
75,Dabangg,http://live.agmediachandigarh.com/booglebollywood/774e3ea9f3fa9bcdac47f445b83b6653.sdp/index.m3u8,IND,Movie
76,DaeguMBCTV,http://live.agmediachandigarh.com/booglebollywood/774e3ea9f3fa9bcdac47f445b83b6653.sdp/index.m3u8,IND,Movie
77,Dhamaal,https://stream.mux.com/e8ustDL8hTiGTkCkE9JLpdJ5uCMcokzn.m3u8,IND,Movie
78,DreamWorksChannelAsia,http://45.127.56.3:7698/live/Corpus-POL/SRV2/4/BANGLA-TALKIES/video.m3u8,IND,Music
79,Enter10Bangla,http://103.199.160.85/Content/moviehouse/Live/Channel(MovieHouse)/index.m3u8,IND,Movie
80,Family Flix,http://103.199.160.85/Content/moviehouse/Live/Channel(MovieHouse)/index.m3u8,IND,Movie
81,GaaN Bangla,https://live.hungama.com/linear/artist-aloud/playlist.m3u8,IND,Music
82,Jalsha Movies,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/anandatv.stream/chunks.m3u8,IND,Drama
83,MTV Beats,http://14.199.164.20:4001/play/a0mx/index.m3u8,IND,Music
84,MTV Biggest POP,http://14.199.164.20:4001/play/a0nc/index.m3u8,IND,Music
85,Music Top,http://103.199.161.254/Content/7smusic/Live/Channel(7smusic)/index.m3u8,IND,Music
86,NRB TV,http://144.217.70.181:9587/hin2/UTVMOVIESHD/tracks-v1a1/mono.m3u8,IND,Movie
87,PopPataka,http://akalmultimedia.net:1935/gdnslive/gdns-live/chunklist.m3u8,IND,Entertainment
