No.,Name,Link,Country,Group
1,GaaN Bangla,https://tempskyview.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/gaanbangla-8-orgd.stream/chunks.m3u8,BD,Music
2,ATN Music,https://tempskyview.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/atnmusic.stream/chunks.m3u8,BD,Music
3,Voice TV,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/voicetv.stream/chunks.m3u8,BD,Music
4,RTV Music,https://bd.jagobd.com:444/c2VydmVyX4RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/rtvmusic.stream/live-orgin/rtvmusic.stream/chunks.m3u8,BD,Music
5,Music India,http://208.86.19.13:81/733.stream/index.m3u8,IND,Music
6,Songeet Bangla,https://d2q8p4pe5spbak.cloudfront.net/bpk-tv/sangeetbangla/sangeetbangla.isml/sangeetbangla-audio_208482_und=208000-video=877600.m3u8,IND,Music
7,Songeet Bangla,https://d2q8p4pe5spbak.cloudfront.net/bpk-tv/sangeetbangla/sangeetbangla.isml/sangeetbangla-audio_208482_und=208000-video=877600.m3u8,IND,Music
8,Bangla Talkies,http://45.127.56.3:7698/live/Corpus-POL/SRV2/4/BANGLA-TALKIES/video.m3u8,IND,Music
9,MTV Beats,http://144.217.70.181:9587/hin2/MTVBEATSHD/tracks-v1a1/mono.m3u8,IND,Music
10,Show Box,https://epiconvh.s.llnwi.net/showbox/master_1024.m3u8,IND,Music
11,Music INDIA,http://103.199.160.85/Content/musicindia/Live/Channel(MusicIndia)/index.m3u8,IND,Music
12,Music INDIA,http://103.199.160.85/Content/musicindia/Live/Channel(MusicIndia)/Stream(02)/index.m3u8,IND,Music
13,Music INDIA,http://14.199.164.20:4001/play/a0mt/index.m3u8,IND,Music
14,Music INDIA,http://d2q8p4pe5spbak.cloudfront.net/bpk-tv/musicindia/musicindia.isml/.m3u8,IND,Music
15,9xM,http://103.55.144.46/hls/9xm.m3u8,IND,Music
16,Bindass,http://103.55.144.46/hls/bindass.m3u8,IND,Music
17,Zoom,http://103.55.144.46/hls/zoom.m3u8,IND,Music
18,SUN Music,http://103.112.55.107:9090/play/a01h/index.m3u8,IND,Music
19,B4U Music,http://103.159.4.38:5868/MUSIC-3/tracks-v1a1/mono.m3u8,IND,Music
20,Zing,http://42.200.67.163:8090/play/a0pd,IND,Music
21,VojPuri Songeet,https://m-c01-j2apps.s.llnwi.net/hls/0432.SangeetBhojpuri.in_480p/index.m3u8,IND,Music
22,MTV Biggest POP,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master.m3u8,INT,Music
23,BillBoard,http://51.210.199.29/hls/stream.m3u8,INT,Music
24,MIFA Music,http://103.153.39.36:9981/stream/channelid/1100119907?profile=pass,INT,Music
25,Retro Music,https://593b04c4c5670.streamlock.net:443/8002/8002/playlist.m3u8,INT,Music
26,Xite Music (DE),https://xite-samsung-de.amagi.tv/playlist.m3u8,INT,Music
27,Baraza TV,https://eco.streams.ovh/BarazaTV/BarazarazaTV/BarazaTV/playlist.m3u8,INT,Music
28,iTv Music (Turkty),https://itv.streams.ovh/magictv/magictv/chunklist_w824092799.m3u8,INT,Music
29,Music Top,http://live-edge01.telecentro.net.ar:80/live/msctphd-720/chunklist_w1210381560.m3u8,INT,Music
30,Krone Hit,http://bitcdn-kronehit.bitmovin.com/v2/hls/chunklist_b3128000.m3u8,INT,Music
31,K-POP Music,https://srv1.zcast.com.br/kpoptv/kpoptv/playlist.m3u8,INT,Music
32,Rock.Land Radio,http://api.new.livestream.com/accounts/22300522/events/6680139/live.secure.m3u8,INT,Music
33,Metal Music,http://v1.catcast.me/content/33816/index.m3u8,INT,Music
34,Metal Music,https://v2.catcast.tv/content/33816/index.m3u8,INT,Music
35,MIFA Music,http://103.153.39.36:9981/stream/channelid/1100119907?profile=pass,INT,Music
36,1HDMusicTelevision,https://sc.id-tv.kz/1hd.m3u8,RU,Music
